#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AF1A0B
#Date Time: 2023-01-29 15:32:10.480
#Sample rate: 440.43Hz
#Samples: 8192
#Trigger: Source: Manual Condition: Rising
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Triangle
#Frequency: 100 mHz
#Period: 10 s
#Amplitude: 5 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-9.1501553,-0.002028648087639218,-0.0007860619159299942
-9.147884789999999,-0.002028648087639218,-0.0007860619159299942
-9.14561428,-0.002028648087639218,-0.0007860619159299942
-9.14334377,-0.002028648087639218,-0.0007860619159299942
-9.141073259999999,-0.002028648087639218,-0.0007860619159299942
-9.13880275,-0.002028648087639218,-0.0007860619159299942
-9.136532239999999,-0.002028648087639218,-0.0007860619159299942
-9.13426173,-0.002028648087639218,-0.0007860619159299942
-9.13199122,-0.002028648087639218,-0.0007860619159299942
-9.129720709999999,-0.002028648087639218,-0.0007860619159299942
-9.1274502,-0.002028648087639218,-0.0007860619159299942
-9.12517969,-0.002028648087639218,-0.0007860619159299942
-9.122909179999999,-0.002028648087639218,-0.0007860619159299942
-9.12063867,-0.002028648087639218,-0.0007860619159299942
-9.118368159999999,-0.002028648087639218,-0.0007860619159299942
-9.11609765,-0.002028648087639218,-0.0007860619159299942
-9.11382714,-0.002028648087639218,-0.0007860619159299942
-9.111556629999999,-0.002028648087639218,-0.0007860619159299942
-9.10928612,-0.002028648087639218,-0.0007860619159299942
-9.107015609999999,-0.002028648087639218,-0.0007860619159299942
-9.104745100000001,-0.002028648087639218,-0.0007860619159299942
-9.10247459,-0.002028648087639218,-0.0007860619159299942
-9.100204079999999,-0.002028648087639218,-0.0007860619159299942
-9.09793357,-0.002028648087639218,-0.0007860619159299942
-9.09566306,-0.002028648087639218,-0.0007860619159299942
-9.093392549999999,-0.002028648087639218,-0.0007860619159299942
-9.09112204,-0.002028648087639218,-0.0007860619159299942
-9.088851529999999,-0.002028648087639218,-0.0007860619159299942
-9.086581020000001,-0.002028648087639218,-0.0007860619159299942
-9.08431051,-0.002028648087639218,-0.0007860619159299942
-9.082039999999999,-0.002028648087639218,-0.0007860619159299942
-9.07976949,-0.002028648087639218,-0.0007860619159299942
-9.07749898,-0.002028648087639218,-0.0007860619159299942
-9.075228469999999,-0.002028648087639218,-0.0007860619159299942
-9.07295796,-0.002028648087639218,-0.0007860619159299942
-9.070687449999999,-0.002028648087639218,-0.0007860619159299942
-9.068416940000001,-0.002028648087639218,-0.0007860619159299942
-9.06614643,-0.002028648087639218,-0.0007860619159299942
-9.063875919999999,-0.002028648087639218,-0.0007860619159299942
-9.06160541,-0.002028648087639218,-0.0007860619159299942
-9.0593349,-0.002028648087639218,-0.0004486180053845092
-9.057064389999999,-0.002028648087639218,-0.0007860619159298408
-9.05479388,-0.002028648087639218,-0.0004486180053845092
-9.052523369999999,-0.002028648087639218,-0.0007860619159299942
-9.050252860000001,-0.002028648087639218,-0.0004486180053846626
-9.04798235,-0.002028648087639218,-0.0007860619159299942
-9.045711839999999,-0.002028648087639218,-0.0007860619159299942
-9.04344133,-0.002028648087639218,-0.0007860619159299942
-9.04117082,-0.002028648087639218,-0.0007860619159299942
-9.038900309999999,-0.002028648087639218,-0.0007860619159299942
-9.0366298,-0.002028648087639218,-0.0007860619159299942
-9.034359289999999,-0.002028648087639218,-0.0007860619159299942
-9.03208878,-0.002028648087639218,-0.0007860619159299942
-9.02981827,-0.002028648087639218,-0.0007860619159299942
-9.027547759999999,-0.002028648087639218,-0.0007860619159299942
-9.02527725,-0.002028648087639218,-0.0007860619159299942
-9.02300674,-0.002028648087639218,-0.0007860619159299942
-9.020736229999999,-0.002028648087639218,-0.0007860619159299942
-9.01846572,-0.002028648087639218,-0.0007860619159299942
-9.016195209999999,-0.002028648087639218,-0.0007860619159299942
-9.0139247,-0.002028648087639218,-0.0007860619159299942
-9.01165419,-0.002028648087639218,-0.0007860619159299942
-9.009383679999999,-0.002028648087639218,-0.0007860619159299942
-9.00711317,-0.002028648087639218,-0.0007860619159299942
-9.00484266,-0.002028648087639218,-0.0007860619159299942
-9.002572149999999,-0.002028648087639218,-0.0007860619159299942
-9.00030164,-0.002028648087639218,-0.0007860619159299942
-8.998031129999999,-0.002028648087639218,-0.0007860619159299942
-8.99576062,-0.002028648087639218,-0.0007860619159299942
-8.99349011,-0.002028648087639218,-0.0007860619159299942
-8.991219599999999,-0.002028648087639218,-0.0007860619159299942
-8.98894909,-0.002028648087639218,-0.0007860619159299942
-8.98667858,-0.002028648087639218,-0.0007860619159299942
-8.984408069999999,-0.002028648087639218,-0.0007860619159299942
-8.98213756,-0.002028648087639218,-0.0007860619159299942
-8.979867049999999,-0.002365557896231689,-0.0007860619159299942
-8.97759654,-0.002028648087639371,-0.0007860619159299942
-8.97532603,-0.002028648087639218,-0.0007860619159299942
-8.973055519999999,-0.002028648087639218,-0.0007860619159299942
-8.97078501,-0.002028648087639218,-0.0007860619159299942
-8.9685145,-0.002028648087639218,-0.0007860619159299942
-8.966243990000001,-0.002028648087639218,-0.0007860619159299942
-8.96397348,-0.002028648087639218,-0.0007860619159299942
-8.961702969999999,-0.002028648087639218,-0.0007860619159299942
-8.95943246,-0.002028648087639218,-0.0007860619159299942
-8.95716195,-0.002028648087639218,-0.0007860619159299942
-8.954891439999999,-0.002028648087639218,-0.0007860619159299942
-8.95262093,-0.002028648087639218,-0.0007860619159299942
-8.950350419999999,-0.002028648087639218,-0.0007860619159299942
-8.948079910000001,-0.002028648087639218,-0.0007860619159299942
-8.9458094,-0.002028648087639218,-0.0007860619159299942
-8.943538889999999,-0.002028648087639218,-0.0007860619159299942
-8.94126838,-0.002028648087639218,-0.0007860619159299942
-8.93899787,-0.002028648087639218,-0.0007860619159299942
-8.936727359999999,-0.002028648087639218,-0.0007860619159299942
-8.93445685,-0.002028648087639218,-0.0007860619159299942
-8.932186339999999,-0.002028648087639218,-0.0007860619159299942
-8.929915830000001,-0.002028648087639218,-0.0007860619159299942
-8.92764532,-0.002365557896231689,-0.0007860619159299942
-8.925374809999999,-0.002028648087639218,-0.0007860619159299942
-8.9231043,-0.002028648087639218,-0.0007860619159299942
-8.92083379,-0.002028648087639218,-0.0007860619159299942
-8.918563279999999,-0.002028648087639218,-0.0007860619159299942
-8.91629277,-0.002028648087639218,-0.0007860619159299942
-8.914022259999999,-0.002028648087639218,-0.0007860619159299942
-8.911751750000001,-0.002028648087639218,-0.0007860619159299942
-8.90948124,-0.002028648087639218,-0.0007860619159299942
-8.907210729999999,-0.002028648087639218,-0.0007860619159299942
-8.90494022,-0.002028648087639218,-0.0007860619159299942
-8.90266971,-0.002028648087639218,-0.0007860619159299942
-8.900399199999999,-0.002028648087639218,-0.0007860619159299942
