#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AF1A0B
#Date Time: 2023-01-29 15:51:07.630
#Sample rate: 400Hz
#Samples: 8192
#Trigger: Source: Manual Condition: Rising
#Channel 1: Range: 500 mV/div Offset: 1.41 V Attenuation: 1 X
#Channel 2: Range: 500 mV/div Offset: -615 mV Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Triangle
#Frequency: 100 mHz
#Period: 10 s
#Amplitude: 5 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-10.24,-0.0009986883719239614,-0.0008613245296366784
-10.2375,-0.0009986883719239614,-0.0008613245296366784
-10.235,-0.001335598180516318,-0.0008613245296366784
-10.2325,-0.0009986883719239614,-0.0008613245296366784
-10.23,-0.0009986883719239614,-0.0008613245296366784
-10.2275,-0.0009986883719239614,-0.0008613245296366784
-10.225,-0.0009986883719239614,-0.0008613245296366784
-10.2225,-0.0009986883719239614,-0.0008613245296366784
-10.22,-0.0009986883719239614,-0.0008613245296366784
-10.2175,-0.0009986883719239614,-0.0008613245296366784
-10.215,-0.0009986883719239614,-0.0008613245296366784
-10.2125,-0.001335598180516318,-0.0008613245296366784
-10.21,-0.001335598180516318,-0.0008613245296366784
-10.2075,-0.0009986883719239614,-0.0008613245296366784
-10.205,-0.0009986883719239614,-0.0008613245296366784
-10.2025,-0.0009986883719239614,-0.0008613245296366784
-10.2,-0.0009986883719239614,-0.0008613245296366784
-10.1975,-0.0009986883719239614,-0.0008613245296366784
-10.195,-0.0009986883719239614,-0.0008613245296366784
-10.1925,-0.0009986883719239614,-0.0008613245296366784
-10.19,-0.0009986883719239614,-0.0008613245296366784
-10.1875,-0.0009986883719239614,-0.0008613245296366784
-10.185,-0.0009986883719239614,-0.0008613245296366784
-10.1825,-0.0009986883719239614,-0.0008613245296366784
-10.18,-0.0009986883719239614,-0.0008613245296366784
-10.1775,-0.0009986883719239614,-0.0008613245296366784
-10.175,-0.0009986883719239614,-0.0008613245296366784
-10.1725,-0.0009986883719239614,-0.0008613245296366784
-10.17,-0.0009986883719239614,-0.0008613245296366784
-10.1675,-0.0009986883719239614,-0.0008613245296366784
-10.165,-0.0009986883719241147,-0.0008613245296366784
-10.1625,-0.001335598180516318,-0.0008613245296366784
-10.16,-0.0009986883719239614,-0.0008613245296366784
-10.1575,-0.0009986883719239614,-0.0008613245296366784
-10.155,-0.001335598180516164,-0.0008613245296366784
-10.1525,-0.0009986883719239614,-0.0008613245296366784
-10.15,-0.001335598180516318,-0.0008613245296366784
-10.1475,-0.0009986883719241145,-0.0008613245296366784
-10.145,-0.001335598180516318,-0.0008613245296366784
-10.1425,-0.001335598180516318,-0.0008613245296366784
-10.14,-0.001335598180516318,-0.0008613245296366784
-10.1375,-0.0009986883719241147,-0.0008613245296366784
-10.135,-0.001335598180516318,-0.0008613245296366784
-10.1325,-0.0009986883719239614,-0.0008613245296366784
-10.13,-0.0009986883719239614,-0.0008613245296366784
-10.1275,-0.001335598180516318,-0.0008613245296366784
-10.125,-0.0009986883719239614,-0.0008613245296366784
-10.1225,-0.0009986883719239614,-0.0008613245296366784
-10.12,-0.0009986883719239614,-0.0008613245296366784
-10.1175,-0.0009986883719239614,-0.0008613245296366784
-10.115,-0.001335598180516318,-0.0008613245296366784
-10.1125,-0.001335598180516318,-0.0008613245296366784
-10.11,-0.0009986883719239614,-0.0008613245296366784
-10.1075,-0.0009986883719239614,-0.0008613245296366784
-10.105,-0.0009986883719239614,-0.0008613245296366784
-10.1025,-0.0009986883719239614,-0.0008613245296366784
-10.1,-0.0009986883719239614,-0.0008613245296366784
-10.0975,-0.0009986883719239614,-0.0008613245296366784
-10.095,-0.001335598180516164,-0.0008613245296366784
-10.0925,-0.001335598180516164,-0.0008613245296366784
-10.09,-0.0009986883719239614,-0.0008613245296366784
-10.0875,-0.0009986883719239614,-0.0008613245296366784
-10.085,-0.0009986883719239614,-0.0008613245296366784
-10.0825,-0.0009986883719239614,-0.0008613245296366784
-10.08,-0.0009986883719239614,-0.0008613245296366784
-10.0775,-0.001335598180516318,-0.0008613245296366784
-10.075,-0.001335598180516164,-0.0008613245296366784
-10.0725,-0.0009986883719239614,-0.0008613245296366784
-10.07,-0.001335598180516318,-0.0008613245296366784
-10.0675,-0.0009986883719241145,-0.0008613245296366784
-10.065,-0.0009986883719239614,-0.0008613245296366784
-10.0625,-0.0009986883719239614,-0.0008613245296366784
-10.06,-0.0009986883719239614,-0.0008613245296366784
-10.0575,-0.0009986883719239614,-0.0008613245296366784
-10.055,-0.0009986883719239614,-0.0008613245296366784
-10.0525,-0.0009986883719239614,-0.0008613245296366784
-10.05,-0.001335598180516164,-0.0008613245296366784
-10.0475,-0.0009986883719239614,-0.0008613245296366784
-10.045,-0.0009986883719239614,-0.0008613245296366784
-10.0425,-0.0009986883719239614,-0.0008613245296366784
